Station,J1,J2,J3,J4,J5,J6,J7,J8
Station-1,106.8733153638814,-213.7466307277628,106.8733153638814,106.8733153638814,213.7466307277628,106.8733153638814,76.00867026055704,76.00867026055704
Station-2,107.8616352,-215.7232704,107.8616352,107.1203953,214.2407907,107.1203953,231.2604223,231.2604223
Station-3,127.1338724168913,-254.2677448337826,127.1338724168913,0,0,0,197.29910152740342,0
